ticker,source,title,description,content,url,publishedAt
GOOGL,ETF Daily News,Infrastructure Stocks Worth Watching – May 13th,"NVIDIA, Coinbase Global, Alphabet, Broadcom, and Alibaba Group are the five Infrastructure stocks to watch today, according to MarketBeat’s stock screener tool. Infrastructure stocks are shares of companies that develop, operate, and maintain essential physic…","NVIDIA, Coinbase Global, Alphabet, Broadcom, and Alibaba Group are the five Infrastructure stocks to watch today, according to MarketBeat’s stock screener tool. Infrastructure stocks are shares of co… [+5950 chars]",https://www.etfdailynews.com/2025/05/15/infrastructure-stocks-worth-watching-may-13th/,2025-05-15 08:22:57+00:00
GOOGL,ETF Daily News,Rep. Jonathan L. Jackson Sells Alphabet Inc. (NASDAQ:GOOGL) Shares,"Representative Jonathan L. Jackson (D-Illinois) recently sold shares of Alphabet Inc. (NASDAQ:GOOGL). In a filing disclosed on May 13th, the Representative disclosed that they had sold between $15,001 and $50,000 in Alphabet stock on April 21st. The trade occ…","Representative Jonathan L. Jackson (D-Illinois) recently sold shares of Alphabet Inc. (NASDAQ:GOOGL). In a filing disclosed on May 13th, the Representative disclosed that they had sold between $15,00… [+7352 chars]",https://www.etfdailynews.com/2025/05/15/rep-jonathan-l-jackson-sells-alphabet-inc-nasdaqgoogl-shares/,2025-05-15 07:08:45+00:00
GOOGL,Yahoo Entertainment,Alphabet Loses Wedbush Best-Idea Spot,AI-driven search uncertainty forces GOOGL off top-pick list despite long-term appeal,"Alphabet (NASDAQ:GOOG) stays a long-term buy but gets kicked off Wedbush's Best Ideas List amid AI-fueled volatility.
Shares of Alphabet popped 3.0% today despite Wedbush's Scott Devitt and team rem… [+1114 chars]",https://finance.yahoo.com/news/alphabet-loses-wedbush-best-idea-161245471.html,2025-05-14 16:12:45+00:00
GOOGL,Amazon.com,Build a financial research assistant using Amazon Q Business and Amazon QuickSight for generative AI–powered insights,"In this post, we show you how Amazon Q Business can help augment your generative AI needs in all the abovementioned use cases and more by answering questions, providing summaries, generating content, and securely completing tasks based on data and information…","According to a Gartner survey in 2024, 58% of finance functions have adopted generative AI, marking a significant rise in adoption. Among these, four primary use cases have emerged as especially prom… [+19942 chars]",https://aws.amazon.com/blogs/machine-learning/build-a-financial-research-assistant-using-amazon-q-business-and-amazon-quicksight-for-generative-ai-powered-insights/,2025-05-14 15:07:13+00:00
GOOGL,Quartz India,A Saudi AI opportunity worth $1 trillion wins over Wall Street — and boosts Nvidia stock,Wedbush analysts celebrated the sweeping Blackwell chip deal as Nvidia packed on $300 billion in market cap. But critics question the long-term risks,"In This Story
The next front in the AI arms race isnt Beijing. Its in Riyadh, at least according to Wedbush.
A new memo from the firm, released early Wednesday, portrayed this weeks U.S.-Saudi foru… [+2615 chars]",https://qz.com/nvidia-stock-market-cap-nvda-saudi-ai-chips-deal-1851780586,2025-05-14 12:32:00+00:00
GOOGL,Biztoc.com,Is This the End for Alphabet Stock?,"In This Article:
Key Points
-
An Apple executive believes AI will replace standard search engines shortly.
-
Google is already implementing AI overviews.
-
The stock is dirt cheap for its growth.
Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL) was slammed last week w…",In This Article:Key Points-An Apple executive believes AI will replace standard search engines shortly.-Google is already implementing AI overviews.-The stock is dirt cheap for its growth.Alphabet (N… [+144 chars],https://biztoc.com/x/a0901d6fde33eae2,2025-05-14 11:57:18+00:00
GOOGL,ETF Daily News,Kurv Yield Premium Strategy Google (GOOGL) ETF (BATS:GOOP) Shares Down 18.5% – What’s Next?,"Shares of Kurv Yield Premium Strategy Google (GOOGL) ETF (BATS:GOOP – Get Free Report) dropped 18.5% during mid-day trading on Tuesday . The company traded as low as $30.22 and last traded at $24.14. Approximately 2,155 shares traded hands during trading, a d…",Shares of Kurv Yield Premium Strategy Google (GOOGL) ETF (BATS:GOOP – Get Free Report) dropped 18.5% during mid-day trading on Tuesday . The company traded as low as $30.22 and last traded at $24.14.… [+1072 chars],https://www.etfdailynews.com/2025/05/14/kurv-yield-premium-strategy-google-googl-etf-batsgoop-shares-down-18-5-whats-next/,2025-05-14 08:04:50+00:00
GOOGL,ETF Daily News,Cybersecurity Stocks To Keep An Eye On – May 12th,"Alphabet, CrowdStrike, Dell Technologies, Palo Alto Networks, Fortinet, Motorola Solutions, and Emerson Electric are the seven Cybersecurity stocks to watch today, according to MarketBeat’s stock screener tool. Cybersecurity stocks are shares of publicly trad…","Alphabet, CrowdStrike, Dell Technologies, Palo Alto Networks, Fortinet, Motorola Solutions, and Emerson Electric are the seven Cybersecurity stocks to watch today, according to MarketBeat’s stock scr… [+8477 chars]",https://www.etfdailynews.com/2025/05/14/cybersecurity-stocks-to-keep-an-eye-on-may-12th/,2025-05-14 06:06:55+00:00
GOOGL,TheStreet,Analysts reset Alphabet stock price target after Apple's warning,Here’s what could be next for the Google parent.,"For the first time ever, people are searching less on search engines, and Apple  (AAPL)  says artificial intelligence is the reason.
Those comments were made on May 7 by Apples senior vice president… [+4340 chars]",https://www.thestreet.com/investing/analysts-reset-alphabet-stock-price-target-after-apples-bold-warning,2025-05-13 19:13:00+00:00
GOOGL,Biztoc.com,Well-Known Investor Defends Alphabet Inc. (GOOGL) Stock,"In This Article:
Alphabet Inc. (GOOGL)'s strong ""intellectual property and talent"" will enable the tech giant to adapt effectively to the threat that it's facing from AI chatbots, Jim Lebenthal, a partner at Cerity Partners and a frequent guest on CNBC, said …","In This Article:Alphabet Inc. (GOOGL)'s strong ""intellectual property and talent"" will enable the tech giant to adapt effectively to the threat that it's facing from AI chatbots, Jim Lebenthal, a par… [+139 chars]",https://biztoc.com/x/8c80b5afe4b38e97,2025-05-13 16:25:25+00:00
GOOGL,Yahoo Entertainment,Well-Known Investor Defends Alphabet Inc. (GOOGL) Stock,Alphabet Inc. (GOOGL)’s strong “intellectual property and talent” will enable the tech giant to adapt effectively to the threat that it’s facing from AI...,"Alphabet Inc. (GOOGL)'s strong ""intellectual property and talent"" will enable the tech giant to adapt effectively to the threat that it's facing from AI chatbots, Jim Lebenthal, a partner at Cerity P… [+1765 chars]",https://finance.yahoo.com/news/well-known-investor-defends-alphabet-160527211.html,2025-05-13 16:05:27+00:00
GOOGL,Quartz India,"Nearly 7,000 workers are out as Microsoft confirms across-the-board layoffs","Microsoft (MSFT) is laying off about 3% of its workforce, its largest headcount cut in more than two years.Read more...","In This Story
Microsoft (MSFT) is laying off about 3% of its workforce, its largest headcount cut in more than two years.
The layoffs have not been formally announced via press release or SEC filin… [+2736 chars]",https://qz.com/microsoft-lays-off-7000-workers-1851780460,2025-05-13 15:58:00+00:00
GOOGL,Biztoc.com,Gemini AI Is Coming to Your iPhone. Is AAPL or GOOGL Stock a Better Buy on the News?,"Barchart Premier: The most comprehensive method for keeping track of all your investments.
FREE 30 Day Trial
- Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- ResourcesEuropean FuturesEuropean Groupings
- Forex Mar…",Barchart Premier: The most comprehensive method for keeping track of all your investments.FREE 30 Day Trial- Market Pulse- VolatilityVolume &amp; Open InterestHorizontal StrategiesButterfly Strategie… [+143 chars],https://biztoc.com/x/abc276ef89e0be9d,2025-05-13 12:41:44+00:00
GOOGL,ETF Daily News,Technology Stocks To Keep An Eye On – May 11th,"NVIDIA, Apple, Microsoft, Meta Platforms, and Alphabet are the five Technology stocks to watch today, according to MarketBeat’s stock screener tool. Technology stocks are shares of publicly traded companies that develop, manufacture or sell technology‐related…","NVIDIA, Apple, Microsoft, Meta Platforms, and Alphabet are the five Technology stocks to watch today, according to MarketBeat’s stock screener tool. Technology stocks are shares of publicly traded co… [+6402 chars]",https://www.etfdailynews.com/2025/05/13/technology-stocks-to-keep-an-eye-on-may-11th/,2025-05-13 07:14:52+00:00
GOOGL,ETF Daily News,Alphabet Inc. (NASDAQ:GOOGL) Receives $199.75 Consensus PT from Brokerages,"Shares of Alphabet Inc. (NASDAQ:GOOGL – Get Free Report) have been assigned an average recommendation of “Moderate Buy” from the forty ratings firms that are covering the stock, MarketBeat.com reports. Ten analysts have rated the stock with a hold recommendat…","Shares of Alphabet Inc. (NASDAQ:GOOGL – Get Free Report) have been assigned an average recommendation of “Moderate Buy” from the forty ratings firms that are covering the stock, MarketBeat.com report… [+5826 chars]",https://www.etfdailynews.com/2025/05/13/alphabet-inc-nasdaqgoogl-receives-199-75-consensus-pt-from-brokerages/,2025-05-13 07:12:50+00:00
GOOGL,ETF Daily News,Healthcare Stocks To Watch Today – May 11th,"Alphabet, Hims & Hers Health, UnitedHealth Group, McKesson, and Cloudflare are the five Healthcare stocks to watch today, according to MarketBeat’s stock screener tool. Healthcare stocks are shares of companies operating in the medical and life-sciences secto…","Alphabet, Hims &amp; Hers Health, UnitedHealth Group, McKesson, and Cloudflare are the five Healthcare stocks to watch today, according to MarketBeat’s stock screener tool. Healthcare stocks are shar… [+6024 chars]",https://www.etfdailynews.com/2025/05/13/healthcare-stocks-to-watch-today-may-11th/,2025-05-13 06:11:00+00:00
GOOGL,Investopedia,Tesla Rides Market Rally Back Into $1 Trillion Club,"Tesla shares surged close to 7% Monday, pushing the company's market capitalization above $1 trillion, amid a broad market rally after the U.S. and China...","Sean Gallup / Getty Images
 Tesla's stock has posted gains for three consecutive weeks, but shares are still down more than 20% since the start of the year
Tesla (TSLA) shares surged Monday, pushin… [+1310 chars]",https://www.investopedia.com/tesla-rides-market-rally-back-into-usd1-trillion-club-11733417,2025-05-12 21:08:01+00:00
GOOGL,Yahoo Entertainment,"Stock market today: Dow gains 900 points, while S&P 500, Nasdaq surge as US-China deal spurs a rush into stocks",US and China said they have agreed to slash most tariffs for 90 days while further trade talks take place.,"US stocks shot higher on Monday in the wake of a US-China deal to temporarily slash reciprocal tariffs, a reprieve for markets fretting about the economic damage from a trade war.
The S&amp;P 500 (^… [+7654 chars]",https://finance.yahoo.com/news/live/stock-market-today-dow-gains-900-points-while-sp-500-nasdaq-surge-as-us-china-deal-spurs-a-rush-into-stocks-144248295.html,2025-05-12 14:42:48+00:00
GOOGL,Yahoo Entertainment,"Stock market today: Dow gains 1,000 points, while S&P 500, Nasdaq surge as US-China deal spurs a rush into stocks",US and China said they have agreed to slash most tariffs for 90 days while further trade talks take place.,"US stocks shot higher on Monday in the wake of a US-China deal to temporarily slash reciprocal tariffs, a reprieve for markets fretting about the economic damage from a trade war.
The S&amp;P 500 (^… [+5821 chars]",https://finance.yahoo.com/news/live/stock-market-today-dow-gains-1000-points-while-sp-500-nasdaq-surge-as-us-china-deal-spurs-a-rush-into-stocks-133030475.html,2025-05-12 13:30:30+00:00
GOOGL,Wccftech,"DA Davidson On Alphabet Antitrust Remedies: “Investors Want A Big-bang Breakup, Not Isolated Spin-offs”","Alphabet (NASDAQ: GOOGL), the parent entity of the Google search engine and its sprawling ad-tech business, the Chrome browser, and the Android OS, is facing stiff antitrust remedies now that it has been found complicit in maintaining an illegal monopoly in t…","This is not investment advice. The author has no position in any of the stocks mentioned. Wccftech.com has a disclosure and ethics policy.
Alphabet (NASDAQ: GOOGL), the parent entity of the Google s… [+3371 chars]",https://wccftech.com/da-davidson-on-alphabet-antitrust-remedies-investors-want-a-big-bang-breakup-not-isolated-spin-offs/,2025-05-12 12:26:27+00:00
GOOGL,Investopedia,Tech Stocks Rally on US-China Trade Deal,Shares of tech firms surged in premarket trading Monday after the U.S. and China agreed to temporarily slash tariffs while they work out a long-term deal.,"Fabrice Coffrini / AFP / Getty Images
 U.S. Treasury Secretary Scott Bessent gives an update on trade talks with China on May 12, 2025 in Geneva.
<ul><li>Tech stocks popped in premarket trading Mon… [+1185 chars]",https://www.investopedia.com/tech-stocks-rally-on-us-china-trade-deal-11732798,2025-05-12 12:26:11+00:00
GOOGL,ETF Daily News,Tower Research Capital LLC TRC Takes Position in Direxion Daily GOOGL Bull 2X Shares (NASDAQ:GGLL),"Tower Research Capital LLC TRC purchased a new position in Direxion Daily GOOGL Bull 2X Shares (NASDAQ:GGLL – Free Report) in the fourth quarter, Holdings Channel reports. The fund purchased 1,442 shares of the company’s stock, valued at approximately $66,000…","Tower Research Capital LLC TRC purchased a new position in Direxion Daily GOOGL Bull 2X Shares (NASDAQ:GGLL – Free Report) in the fourth quarter, Holdings Channel reports. The fund purchased 1,442 sh… [+2558 chars]",https://www.etfdailynews.com/2025/05/12/tower-research-capital-llc-trc-takes-position-in-direxion-daily-googl-bull-2x-shares-nasdaqggll/,2025-05-12 07:50:53+00:00
